HTR	start	end	gene	Identifying_annotation	SRG_type
IBT35675:HTR17	43748	45913	g40735.t1	IPR001005,IPR009057	MYB/SANT
IBT35675:HTR55	102325	105376	g342.t1	IPR001005	MYB/SANT
IBT35675:HTR6	73447	76210	g24212.t1	IPR021842	DUF3435
IBT35675:HTR6	79002	81525	g24214.t1	IPR022198	DUF3723
IBT35675:HTR63	89892	92323	g9128.t1	IPR011010,IPR021842	DUF3435
PN007:HTR1	142245	147146	g24739.t1	IPR022198	DUF3723
PN007:HTR1	434025	435206	g24820.t1	IPR001005	MYB/SANT
PN007:HTR101	48998	51502	g27288.t1	IPR013087,IPR021842	DUF3435
PN007:HTR105	171161	173492	g20921.t1	IPR022198	DUF3723
PN007:HTR105	388174	390507	g21003.t1	IPR022198	DUF3723
PN007:HTR105	594494	596825	g21083.t1	IPR022198	DUF3723
PN007:HTR105	752036	754768	g21139.t1	IPR013087,IPR021842	DUF3435
PN007:HTR106	71754	72986	g39937.t1	IPR001005,IPR009057	MYB/SANT
PN007:HTR106	295372	298844	g40011.t1	IPR022198	DUF3723
PN007:HTR106	402642	404972	g40054.t1	IPR022198	DUF3723
PN007:HTR106	421782	424291	g40062.t1	IPR013087,IPR021842	DUF3435
PN007:HTR106	587565	589896	g40121.t1	IPR022198	DUF3723
PN007:HTR106	722587	724912	g40164.t1	IPR022198	DUF3723
PN007:HTR106	876918	878281	g40216.t1	IPR001005	MYB/SANT
PN007:HTR106	935105	936337	g40237.t1	IPR001005,IPR009057	MYB/SANT
PN007:HTR106	1166006	1168739	g40315.t1	IPR011010,IPR013087,IPR013762,IPR021842	DUF3435
PN007:HTR119	73090	74318	g6809.t1	IPR001005,IPR009057	MYB/SANT
PN007:HTR119	273727	276055	g6879.t1	IPR022198	DUF3723
PN007:HTR119	436789	439117	g6942.t1	IPR022198	DUF3723
PN007:HTR119	502732	505464	g6971.t1	IPR013087,IPR021842	DUF3435
PN007:HTR125	933855	934359	g22932.t1	IPR001005	MYB/SANT
PN007:HTR21	60516	63250	g11235.t1	IPR013087,IPR021842	DUF3435
PN007:HTR3	197459	200980	g8731.t1	IPR021842	DUF3435
PN007:HTR3	273147	276943	g8756.t1	IPR022198	DUF3723
PN007:HTR3	295463	298396	g8763.t1	IPR021842	DUF3435
PN007:HTR3	359672	360965	g8790.t1	IPR001005,IPR009057	MYB/SANT
PN007:HTR3	451542	453844	g8817.t1	IPR022198	DUF3723
PN007:HTR30	128011	129240	g31644.t1	IPR001005,IPR009057	MYB/SANT
PN007:HTR36	85816	88147	g15907.t1	IPR022198	DUF3723
PN007:HTR36	264592	266451	g15963.t1	IPR022198	DUF3723
PN007:HTR36	305979	308310	g15980.t1	IPR022198	DUF3723
PN007:HTR40	40316	41545	g19043.t1	IPR001005,IPR009057	MYB/SANT
PN007:HTR46	90264	91647	g21987.t1	IPR001005	MYB/SANT
PN007:HTR46	134984	137313	g22000.t1	IPR022198	DUF3723
PN007:HTR46	175698	178441	g22019.t1	IPR013087,IPR021842	DUF3435
PN007:HTR50	94872	97040	g4183.t1	IPR001005,IPR009057	MYB/SANT
PN007:HTR50	131381	134417	g4195.t1	IPR022198	DUF3723
PN007:HTR50	155227	157385	g4204.t1	IPR021842	DUF3435
PN007:HTR50	226060	228574	g4223.t1	IPR013087,IPR021842	DUF3435
PN007:HTR51	112165	114896	g28010.t1	IPR013087,IPR021842	DUF3435
PN007:HTR51	186894	189246	g28035.t1	IPR022198	DUF3723
PN007:HTR51	206388	210019	g28043.t1	IPR021842	DUF3435
PN007:HTR51	460772	462061	g28136.t1	IPR022198	DUF3723
PN007:HTR51	462142	463099	g28137.t1	IPR022198	DUF3723
PN007:HTR51	770972	773300	g28252.t1	IPR022198	DUF3723
PN007:HTR51	801584	802816	g28265.t1	IPR001005,IPR009057	MYB/SANT
PN007:HTR52	259629	263150	g23897.t1	IPR021842	DUF3435
PN007:HTR52	412321	414659	g23957.t1	IPR022198	DUF3723
PN007:HTR56	11063	13401	g5623.t1	IPR022198	DUF3723
PN007:HTR56	40211	42954	g5629.t1	IPR013087,IPR021842	DUF3435
PN007:HTR56	276379	278894	g5719.t1	IPR013087,IPR021842	DUF3435
PN007:HTR59	442350	445070	g41439.t1	IPR013087,IPR021842	DUF3435
PN007:HTR59	449518	452250	g41440.t1	IPR013087,IPR021842	DUF3435
PN007:HTR60	25764	28093	g40386.t1	IPR022198	DUF3723
PN007:HTR60	92063	94393	g40412.t1	IPR022198	DUF3723
PN007:HTR60	298606	299406	g40496.t1	IPR022198	DUF3723
PN007:HTR60	351384	353714	g40512.t1	IPR022198	DUF3723
PN007:HTR60	419300	421630	g40538.t1	IPR022198	DUF3723
PN007:HTR60	484854	486068	g40566.t1	IPR001005,IPR009057	MYB/SANT
PN007:HTR72	138438	141169	g2653.t1	IPR021842	DUF3435
PN007:HTR72	149169	152147	g2655.t1	IPR022198	DUF3723
PN007:HTR94	38175	40505	g1378.t1	IPR022198	DUF3723
PN007:HTR94	112221	113435	g1403.t1	IPR001005,IPR009057	MYB/SANT
IBT35665:HTR42	142044	145136	g12505.t1	ENOG503NY7U	PLP
IBT35665:HTR42	267121	268188	g12557.t1	ENOG503P5Q6	CRG
IBT35665:HTR42	350528	353645	g12591.t1	ENOG503NY7U	PLP
IBT35665:HTR42	540853	541929	g12664.t1	ENOG503P5Q6	CRG
IBT35665:HTR42	544743	545690	g12667.t1	ENOG503P5Q6	CRG
IBT35673:HTR117	341248	344532	g13237.t1	ENOG503NY7U	PLP
IBT35675:HTR117	87392	90510	g13603.t1	ENOG503NY7U	PLP
PN007:HTR94	11886	14309	g1364.t1	ENOG503NY7U	PLP
IBT35675:HTR117	194023	195099	g13645.t1	ENOG503P5Q6	CRG
PN007:HTR94	14324	14989	g1365.t1	ENOG503NY7U	PLP
IBT35675:HTR117	418000	419076	g13731.t1	ENOG503P5Q6	CRG
IBT35675:HTR117	507677	508753	g13767.t1	ENOG503P5Q6	CRG
IBT35675:HTR117	571587	574702	g13793.t1	ENOG503NY7U	PLP
PN007:HTR94	50619	53744	g1384.t1	ENOG503NY7U	PLP
IBT35675:HTR117	1084603	1087719	g13978.t1	ENOG503NY7U	PLP
IBT35675:HTR117	1158993	1160069	g14012.t1	ENOG503P5Q6	CRG
IBT35675:HTR117	1404414	1405490	g14093.t1	ENOG503P5Q6	CRG
A30:HTR13	495356	496648	g15715.t1	ENOG503P5Q6	CRG
PN007:HTR36	119984	121060	g15923.t1	ENOG503P5Q6	CRG
PN007:HTR36	322037	325153	g15986.t1	ENOG503NY7U	PLP
PN007:HTR36	374153	375229	g16010.t1	ENOG503P5Q6	CRG
PN007:HTR36	549216	553048	g16078.t1	ENOG503NY7U	PLP
PN007:HTR36	664087	667203	g16110.t1	ENOG503NY7U	PLP
IBT35665:HTR75	169083	171779	g1775.t1	ENOG503P5Q6	CRG
PN007:HTR105	85127	86194	g20887.t1	ENOG503P5Q6	CRG
PN007:HTR105	159488	162604	g20916.t1	ENOG503NY7U	PLP
PN007:HTR105	230437	231504	g20945.t1	ENOG503P5Q6	CRG
PN007:HTR105	398165	401285	g21010.t1	ENOG503NY7U	PLP
PN007:HTR105	481392	481910	g21037.t1	PF20255	DUF6066
PN007:HTR105	605327	608443	g21088.t1	ENOG503NY7U	PLP
PN007:HTR46	8080	11184	g21961.t1	ENOG503NY7U	PLP
PN007:HTR46	93252	102945	g21988.t1	PF20255	DUF6066
PN007:HTR46	106403	107320	g21990.t1	ENOG503P5Q6	CRG
PN007:HTR52	321074	323761	g23924.t1	PF20255	DUF6066
PN007:HTR52	382529	384396	g23949.t1	ENOG503NY7U	PLP
PN007:HTR52	384447	385684	g23950.t1	ENOG503NY7U	PLP
IBT35675:HTR6	97688	100972	g24219.t1	ENOG503NY7U	PLP
PN007:HTR1	239486	249001	g24767.t1	PF20255	DUF6066
PN007:HTR72	163726	167108	g2662.t1	ENOG503NY7U	PLP
IBT35675:HTR1	105642	108810	g2717.t1	ENOG503NY7U	PLP
IBT35675:HTR1	342448	344123	g2798.t1	ENOG503NY7U	PLP
IBT35675:HTR1	344441	345620	g2799.t1	ENOG503NY7U	PLP
PN007:HTR51	314530	314775	g28074.t1	ENOG503P5Q6	CRG
PN007:HTR51	314874	315491	g28075.t1	ENOG503P5Q6	CRG
PN007:HTR51	371017	372320	g28096.t1	PF20255	DUF6066
PN007:HTR51	396339	397415	g28107.t1	ENOG503P5Q6	CRG
PN007:HTR51	449130	452249	g28131.t1	ENOG503NY7U	PLP
PN007:HTR51	736821	737861	g28236.t1	ENOG503P5Q6	CRG
IBT35673:HTR9	170219	172916	g29911.t1	ENOG503P5Q6	CRG
IBT35675:HTR101	82373	85489	g30563.t1	ENOG503NY7U	PLP
IBT35675:HTR101	254803	255879	g30629.t1	ENOG503P5Q6	CRG
IBT35675:HTR101	328951	330027	g30653.t1	ENOG503P5Q6	CRG
IBT35675:HTR101	750724	760267	g30790.t1	PF20255	DUF6066
IBT35675:HTR101	842393	845511	g30829.t1	ENOG503NY7U	PLP
IBT35665:HTR1	231379	233253	g32658.t1	ENOG503NY7U	PLP
IBT35665:HTR1	337039	340152	g32697.t1	ENOG503NY7U	PLP
IBT35665:HTR1	459703	460770	g32740.t1	ENOG503P5Q6	CRG
IBT35665:HTR1	575122	578237	g32780.t1	ENOG503NY7U	PLP
IBT35665:HTR1	813766	814833	g32854.t1	ENOG503P5Q6	CRG
IBT35665:HTR1	988114	988740	g32923.t1	ENOG503NY7U	PLP
IBT35665:HTR1	989247	991486	g32924.t1	ENOG503NY7U	PLP
IBT35665:HTR1	1198431	1200250	g32983.t1	ENOG503NY7U	PLP
IBT35665:HTR1	1200295	1201661	g32984.t1	ENOG503NY7U	PLP
IBT35675:HTR11	111122	114406	g33386.t1	ENOG503NY7U	PLP
IBT35675:HTR62	147638	157177	g34680.t1	PF20255	DUF6066
IBT35665:HTR65	435011	444553	g34931.t1	PF20255	DUF6066
IBT35665:HTR65	650651	660164	g34987.t1	PF20255	DUF6066
IBT35665:HTR22	203820	206939	g37116.t1	ENOG503NY7U	PLP
IBT35665:HTR22	352045	355163	g37166.t1	ENOG503NY7U	PLP
IBT35665:HTR22	500231	501307	g37221.t1	ENOG503P5Q6	CRG
IBT35665:HTR22	652772	653848	g37273.t1	ENOG503P5Q6	CRG
IBT35665:HTR22	730089	731577	g37300.t1	ENOG503P5Q6	CRG
IBT35665:HTR22	919901	923019	g37363.t1	ENOG503NY7U	PLP
IBT35665:HTR64	513345	516463	g38930.t1	ENOG503NY7U	PLP
IBT35665:HTR64	539383	540459	g38938.t1	ENOG503P5Q6	CRG
IBT35665:HTR64	850813	851880	g39033.t1	ENOG503P5Q6	CRG
IBT35665:HTR64	1106083	1109196	g39125.t1	ENOG503NY7U	PLP
IBT35665:HTR64	1414910	1418025	g39227.t1	ENOG503NY7U	PLP
IBT35665:HTR64	1641943	1645060	g39309.t1	ENOG503NY7U	PLP
PN007:HTR106	41585	42883	g39932.t1	ENOG503P5Q6	CRG
PN007:HTR106	316441	317517	g40019.t1	ENOG503P5Q6	CRG
PN007:HTR106	391023	394139	g40047.t1	ENOG503NY7U	PLP
PN007:HTR106	482574	489431	g40086.t1	PF20255	DUF6066
PN007:HTR106	598334	601450	g40126.t1	ENOG503NY7U	PLP
PN007:HTR60	12014	15117	g40379.t1	ENOG503NY7U	PLP
PN007:HTR60	104288	107391	g40418.t1	ENOG503NY7U	PLP
PN007:HTR60	339604	342704	g40509.t1	ENOG503NY7U	PLP
PN007:HTR60	387982	388683	g40525.t1	ENOG503P5Q6	CRG
PN007:HTR60	430426	431109	g40544.t1	ENOG503NY7U	PLP
PN007:HTR60	431106	433525	g40545.t1	ENOG503NY7U	PLP
PN007:HTR59	106169	107245	g41330.t1	ENOG503P5Q6	CRG
PN007:HTR56	81912	85013	g5648.t1	ENOG503NY7U	PLP
PN007:HTR56	169194	169853	g5679.t1	ENOG503P5Q6	CRG
PN007:HTR56	390549	391631	g5759.t1	ENOG503P5Q6	CRG
IBT35673:HTR103	432799	442311	g6268.t1	PF20255	DUF6066
PN007:HTR119	259670	262788	g6873.t1	ENOG503NY7U	PLP
PN007:HTR119	299179	300255	g6892.t1	ENOG503P5Q6	CRG
PN007:HTR119	459355	462473	g6952.t1	ENOG503NY7U	PLP
IBT35673:HTR50	422273	425503	g7476.t1	ENOG503NY7U	PLP
PN007:HTR3	423535	424777	g8808.t1	ENOG503NY7U	PLP
PN007:HTR3	424816	426692	g8809.t1	ENOG503NY7U	PLP
A30:HTR62	33959	35741	g9243.t1	ENOG503NY7U	PLP
A30:HTR62	36545	37078	g9244.t1	ENOG503NY7U	PLP
IBT35665:HTR48	163669	164222	NA	starfish	DUF3435
IBT35665:HTR49	33544	35378	NA	starfish	DUF3435
IBT35665:HTR63	108356	109668	NA	starfish	DUF3435
IBT35673:HTR51	4249	4679	NA	starfish	DUF3435
IBT35673:HTR58	56267	58763	NA	starfish	DUF3435
IBT35673:HTR102	95449	95910	NA	starfish	DUF3435
IBT35673:HTR116	79760	80032	NA	starfish	DUF3435
IBT35675:HTR60	108752	110058	NA	starfish	DUF3435
PN007:HTR36	504328	506783	NA	starfish	DUF3435
PN007:HTR46	262231	264032	NA	starfish	DUF3435
PN007:HTR120	54144	55285	NA	starfish	DUF3435
ATCC48735:HTR10	139015	142271	g31894.t1	IPR022198	DUF3723
ATCC48735:HTR10	174598	177261	g31906.t1	IPR021842	DUF3435
ATCC48735:HTR101	30356	32800	g51887.t1	IPR022198	DUF3723
ATCC48735:HTR101	90497	92709	g51908.t1	IPR021842	DUF3435
ATCC48735:HTR21	5477	8289	g21137.t1	IPR011010,IPR013087,IPR021842	DUF3435
ATCC48735:HTR23	2022	4472	g45763.t1	IPR022198	DUF3723
ATCC48735:HTR41	10508	12506	g32452.t1	IPR022198	DUF3723
ATCC48735:HTR53	102383	104925	g34311.t1	IPR022198	DUF3723
ATCC48735:HTR55	13286	15506	g1320.t1	IPR021842	DUF3435
ATCC48735:HTR55	26598	28193	g1327.t1	IPR022198	DUF3723
ATCC48735:HTR88	1633	5092	g42717.t1	IPR011010,IPR013762,IPR021842	DUF3435
ATCC48735:HTR89	39495	43005	g2132.t1	IPR011010,IPR013762,IPR021842	DUF3435
ATCC48735:HTR91	147492	149842	g42687.t1	IPR022198	DUF3723
ATCC48735:HTR93	5153	7603	g10330.t1	IPR022198	DUF3723
CBS134186:HTR110	1285	4795	g51062.t1	IPR011010,IPR013762,IPR021842	DUF3435
CBS134186:HTR112	11998	13789	g53834.t1	IPR022198	DUF3723
CBS134186:HTR14	90728	93181	g8542.t1	IPR022198	DUF3723
CBS134186:HTR17	17718	20260	g3546.t1	IPR022198	DUF3723
CBS134186:HTR28	139837	143093	g42826.t1	IPR022198	DUF3723
CBS134186:HTR28	175420	178083	g42838.t1	IPR021842	DUF3435
CBS134186:HTR33	41692	43904	g25927.t1	IPR021842	DUF3435
CBS134186:HTR33	101600	104044	g25948.t1	IPR022198	DUF3723
CBS134186:HTR40	148480	150830	g37523.t1	IPR022198	DUF3723
CBS134186:HTR84	89550	91145	g54446.t1	IPR022198	DUF3723
CBS134186:HTR84	102237	104457	g54453.t1	IPR021842	DUF3435
CBS134186:HTR86	208687	211499	g48639.t1	IPR011010,IPR013087,IPR021842	DUF3435
CBS134186:HTR95	1326	4785	g18834.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT13549:HTR1	83403	86140	g45281.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT13549:HTR1	181747	183971	g45320.t1	IPR022198	DUF3723
IBT13549:HTR1	453079	455440	g45432.t1	IPR022198	DUF3723
IBT13549:HTR1	797375	799751	g45562.t1	IPR022198	DUF3723
IBT13549:HTR1	849609	850838	g45584.t1	IPR001005,IPR009057	MYB/SANT
IBT13549:HTR102	53427	55886	g1878.t1	IPR022198	DUF3723
IBT13549:HTR102	101916	104128	g1899.t1	IPR021842	DUF3435
IBT13549:HTR104	3411	5921	g48720.t1	IPR013087,IPR021842	DUF3435
IBT13549:HTR104	30201	31796	g48730.t1	IPR022198	DUF3723
IBT13549:HTR11	72013	72873	g12208.t1	IPR022198	DUF3723
IBT13549:HTR30	175490	177325	g6585.t1	IPR022198	DUF3723
IBT13549:HTR30	318386	322579	g6637.t1	IPR022198	DUF3723
IBT13549:HTR30	360953	364585	g6648.t1	IPR021842	DUF3435
IBT13549:HTR37	44568	45797	g29257.t1	IPR001005,IPR009057	MYB/SANT
IBT13549:HTR37	693755	696099	g29503.t1	IPR022198	DUF3723
IBT13549:HTR37	867988	870494	g29567.t1	IPR013087,IPR021842	DUF3435
IBT13549:HTR37	1129510	1130072	g29649.t1	IPR022198	DUF3723
IBT13549:HTR37	1130205	1131866	g29650.t1	IPR022198	DUF3723
IBT13549:HTR37	1183056	1185191	g29669.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT13549:HTR37	1351046	1353001	g29733.t1	IPR001005,IPR009057	MYB/SANT
IBT13549:HTR37	1392934	1393954	g29747.t1	IPR022198	DUF3723
IBT13549:HTR37	1394112	1395584	g29748.t1	IPR022198	DUF3723
IBT13549:HTR37	1395893	1398442	g29749.t1	IPR022198	DUF3723
IBT13549:HTR37	1629178	1631516	g29831.t1	IPR022198	DUF3723
IBT13549:HTR37	1767735	1769666	g29888.t1	IPR001005,IPR009057	MYB/SANT
IBT13549:HTR37	1916390	1917378	g29945.t1	IPR022198	DUF3723
IBT13549:HTR37	2091644	2092873	g30016.t1	IPR001005,IPR009057	MYB/SANT
IBT13549:HTR37	2516406	2518043	g30164.t1	IPR013087,IPR021842	DUF3435
IBT13549:HTR37	2923954	2926893	g30304.t1	IPR021842	DUF3435
IBT13549:HTR37	2940709	2944149	g30311.t1	IPR022198	DUF3723
IBT13549:HTR37	3207637	3209971	g30413.t1	IPR022198	DUF3723
IBT13549:HTR37	3241425	3244162	g30428.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT13549:HTR37	3278978	3281309	g30442.t1	IPR022198	DUF3723
IBT13549:HTR37	3413872	3417110	g30484.t1	IPR022198	DUF3723
IBT13549:HTR37	3623893	3626630	g30566.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT13549:HTR37	3862474	3864805	g30655.t1	IPR022198	DUF3723
IBT13549:HTR38	512898	516136	g16430.t1	IPR022198	DUF3723
IBT13549:HTR39	44754	45711	g16635.t1	IPR022198	DUF3723
IBT13549:HTR39	512236	514192	g16816.t1	IPR001005,IPR009057	MYB/SANT
IBT13549:HTR39	694403	695632	g16890.t1	IPR001005,IPR009057	MYB/SANT
IBT13549:HTR39	756475	759212	g16910.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT13549:HTR39	986238	987195	g17005.t1	IPR022198	DUF3723
IBT13549:HTR39	1141793	1144156	g17064.t1	IPR022198	DUF3723
IBT13549:HTR39	1455673	1458017	g17171.t1	IPR022198	DUF3723
IBT13549:HTR4	39468	42209	g56339.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT13549:HTR4	350605	352961	g56452.t1	IPR022198	DUF3723
IBT13549:HTR4	478969	481294	g56506.t1	IPR022198	DUF3723
IBT13549:HTR4	528210	529439	g56527.t1	IPR001005,IPR009057	MYB/SANT
IBT13549:HTR40	65785	68519	g33367.t1	IPR013087,IPR021842	DUF3435
IBT13549:HTR40	383795	390370	g33478.t1	IPR022198	DUF3723
IBT13549:HTR41	41315	44580	g39223.t1	IPR022198	DUF3723
IBT13549:HTR41	76977	79321	g39233.t1	IPR022198	DUF3723
IBT13549:HTR41	164284	166969	g39263.t1	IPR021842	DUF3435
IBT13549:HTR41	519996	522734	g39380.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT13549:HTR79	21243	21876	g3770.t1	IPR021842	DUF3435
IBT13549:HTR90	49094	50323	g19945.t1	IPR001005,IPR009057	MYB/SANT
IBT13549:HTR90	76251	82702	g19953.t1	IPR022198	DUF3723
IBT15449:HTR1	479046	480683	g52546.t1	IPR013087,IPR021842	DUF3435
IBT15449:HTR1	899689	902628	g52695.t1	IPR021842	DUF3435
IBT15449:HTR1	916444	919884	g52702.t1	IPR022198	DUF3723
IBT15449:HTR1	1287814	1291052	g52842.t1	IPR022198	DUF3723
IBT15449:HTR1	1423577	1425908	g52884.t1	IPR022198	DUF3723
IBT15449:HTR1	1460702	1463439	g52899.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15449:HTR1	1494954	1497288	g52915.t1	IPR022198	DUF3723
IBT15449:HTR1	1841610	1843941	g53058.t1	IPR022198	DUF3723
IBT15449:HTR105	2709	3701	g31021.t1	IPR021842	DUF3435
IBT15449:HTR105	3752	5150	g31022.t1	IPR021842	DUF3435
IBT15449:HTR105	289959	292391	g31126.t1	IPR022198	DUF3723
IBT15449:HTR13	542361	548965	g9224.t1	IPR022198	DUF3723
IBT15449:HTR13	992502	994114	g9379.t1	IPR021842	DUF3435
IBT15449:HTR14	312765	315502	g5496.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15449:HTR14	668285	670970	g5615.t1	IPR021842	DUF3435
IBT15449:HTR14	755925	758269	g5645.t1	IPR022198	DUF3723
IBT15449:HTR14	790662	796731	g5656.t1	IPR022198	DUF3723
IBT15449:HTR14	841701	842930	g5674.t1	IPR001005,IPR009057	MYB/SANT
IBT15449:HTR14	1491250	1493594	g5920.t1	IPR022198	DUF3723
IBT15449:HTR14	1665447	1667953	g5986.t1	IPR013087,IPR021842	DUF3435
IBT15449:HTR14	1929822	1930384	g6071.t1	IPR022198	DUF3723
IBT15449:HTR14	1930517	1932178	g6072.t1	IPR022198	DUF3723
IBT15449:HTR14	1983377	1985512	g6091.t1	IPR011010,IPR013762,IPR021842	DUF3435
IBT15449:HTR14	2153678	2155633	g6158.t1	IPR001005,IPR009057	MYB/SANT
IBT15449:HTR14	2195536	2196556	g6172.t1	IPR022198	DUF3723
IBT15449:HTR14	2196714	2198186	g6173.t1	IPR022198	DUF3723
IBT15449:HTR14	2198495	2201044	g6174.t1	IPR022198	DUF3723
IBT15449:HTR14	2465095	2467433	g6267.t1	IPR022198	DUF3723
IBT15449:HTR15	70576	72421	g53074.t1	IPR021842	DUF3435
IBT15449:HTR21	41896	43852	g47369.t1	IPR001005,IPR009057	MYB/SANT
IBT15449:HTR21	206765	209502	g47438.t1	IPR011010,IPR013087,IPR021842	DUF3435
IBT15449:HTR21	270338	271567	g47458.t1	IPR001005,IPR009057	MYB/SANT
IBT15449:HTR21	443610	445973	g47526.t1	IPR022198	DUF3723
IBT15449:HTR21	597432	598389	g47599.t1	IPR022198	DUF3723
IBT15449:HTR21	754895	757257	g47661.t1	IPR022198	DUF3723
IBT15449:HTR21	826007	826964	g47692.t1	IPR022198	DUF3723
IBT15449:HTR22	323163	324392	g35039.t1	IPR001005,IPR009057	MYB/SANT
