SRG_type	domains	HTR	middle_position	HTR_full	HTR_size	shortest_distance	shortest_distance_relative_size
DUF3435	IPR013087,IPR021842	PN007:HTR101	50250	Psalamii.PN007_contig36:0-63944	63944	13694	0.214156
DUF3723	IPR022198	PN007:HTR105	172326	Psalamii.PN007_contig4:0-914000	914000	172326	0.18854
DUF3723	IPR022198	PN007:HTR105	389340	Psalamii.PN007_contig4:0-914000	914000	389340	0.425974
DUF3723	IPR022198	PN007:HTR105	595660	Psalamii.PN007_contig4:0-914000	914000	318340	0.348293
DUF3435	IPR013087,IPR021842	PN007:HTR105	753402	Psalamii.PN007_contig4:0-914000	914000	160598	0.175709
MYB/SANT	IPR001005,IPR009057	PN007:HTR106	72370	Psalamii.PN007_contig4:939000-2196000	1257000	72370	0.0575736
DUF3723	IPR022198	PN007:HTR106	297108	Psalamii.PN007_contig4:939000-2196000	1257000	297108	0.236363
DUF3723	IPR022198	PN007:HTR106	403807	Psalamii.PN007_contig4:939000-2196000	1257000	403807	0.321247
DUF3435	IPR013087,IPR021842	PN007:HTR106	423036	Psalamii.PN007_contig4:939000-2196000	1257000	423036	0.336544
DUF3723	IPR022198	PN007:HTR106	588730	Psalamii.PN007_contig4:939000-2196000	1257000	588730	0.468361
DUF3723	IPR022198	PN007:HTR106	723750	Psalamii.PN007_contig4:939000-2196000	1257000	533250	0.424224
MYB/SANT	IPR001005	PN007:HTR106	877600	Psalamii.PN007_contig4:939000-2196000	1257000	379400	0.30183
MYB/SANT	IPR001005,IPR009057	PN007:HTR106	935721	Psalamii.PN007_contig4:939000-2196000	1257000	321279	0.255592
DUF3435	IPR011010,IPR013087,IPR013762,IPR021842	PN007:HTR106	1.16737e+06	Psalamii.PN007_contig4:939000-2196000	1257000	89630	0.0713047
MYB/SANT	IPR001005,IPR009057	PN007:HTR119	73704	Psalamii.PN007_contig5:260000-860000	600000	73704	0.12284
DUF3723	IPR022198	PN007:HTR119	274891	Psalamii.PN007_contig5:260000-860000	600000	274891	0.458152
DUF3723	IPR022198	PN007:HTR119	437953	Psalamii.PN007_contig5:260000-860000	600000	162047	0.270078
DUF3435	IPR013087,IPR021842	PN007:HTR119	504098	Psalamii.PN007_contig5:260000-860000	600000	95902	0.159837
MYB/SANT	IPR001005	PN007:HTR125	934107	Psalamii.PN007_contig6:0-1224000	1224000	289893	0.236841
DUF3435	IPR013087,IPR021842	PN007:HTR21	61883	Psalamii.PN007_contig11:0-158000	158000	61883	0.391665
DUF3435	IPR021842	PN007:HTR3	199220	Psalamii.PN007_contig1:1210000-1902000	692000	199220	0.28789
DUF3723	IPR022198	PN007:HTR3	275045	Psalamii.PN007_contig1:1210000-1902000	692000	275045	0.397464
DUF3435	IPR021842	PN007:HTR3	296930	Psalamii.PN007_contig1:1210000-1902000	692000	296930	0.42909
MYB/SANT	IPR001005,IPR009057	PN007:HTR3	360318	Psalamii.PN007_contig1:1210000-1902000	692000	331682	0.479309
DUF3723	IPR022198	PN007:HTR3	452693	Psalamii.PN007_contig1:1210000-1902000	692000	239307	0.345819
MYB/SANT	IPR001005,IPR009057	PN007:HTR30	128626	Psalamii.PN007_contig13:838000-1007137	169137	40511	0.239516
DUF3723	IPR022198	PN007:HTR36	86981.5	Psalamii.PN007_contig15:0-782603	782603	86981.5	0.111144
DUF3723	IPR022198	PN007:HTR36	265522	Psalamii.PN007_contig15:0-782603	782603	265522	0.339281
DUF3723	IPR022198	PN007:HTR36	307144	Psalamii.PN007_contig15:0-782603	782603	307144	0.392465
MYB/SANT	IPR001005,IPR009057	PN007:HTR40	40930.5	Psalamii.PN007_contig17:0-256000	256000	40930.5	0.159885
MYB/SANT	IPR001005	PN007:HTR46	90955.5	Psalamii.PN007_contig19:0-463000	463000	90955.5	0.196448
DUF3723	IPR022198	PN007:HTR46	136148	Psalamii.PN007_contig19:0-463000	463000	136148	0.294056
DUF3435	IPR013087,IPR021842	PN007:HTR46	177070	Psalamii.PN007_contig19:0-463000	463000	177070	0.382441
MYB/SANT	IPR001005,IPR009057	PN007:HTR50	95956	Psalamii.PN007_contig2:815000-1315000	500000	95956	0.191912
DUF3723	IPR022198	PN007:HTR50	132899	Psalamii.PN007_contig2:815000-1315000	500000	132899	0.265798
DUF3435	IPR021842	PN007:HTR50	156306	Psalamii.PN007_contig2:815000-1315000	500000	156306	0.312612
DUF3435	IPR013087,IPR021842	PN007:HTR50	227317	Psalamii.PN007_contig2:815000-1315000	500000	227317	0.454634
DUF3435	IPR013087,IPR021842	PN007:HTR51	113530	Psalamii.PN007_contig2:1356000-2414000	1058000	113530	0.107306
DUF3723	IPR022198	PN007:HTR51	188070	Psalamii.PN007_contig2:1356000-2414000	1058000	188070	0.17776
DUF3435	IPR021842	PN007:HTR51	208204	Psalamii.PN007_contig2:1356000-2414000	1058000	208204	0.19679
DUF3723	IPR022198	PN007:HTR51	461416	Psalamii.PN007_contig2:1356000-2414000	1058000	461416	0.436121
DUF3723	IPR022198	PN007:HTR51	462620	Psalamii.PN007_contig2:1356000-2414000	1058000	462620	0.437259
DUF3723	IPR022198	PN007:HTR51	772136	Psalamii.PN007_contig2:1356000-2414000	1058000	285864	0.270193
MYB/SANT	IPR001005,IPR009057	PN007:HTR51	802200	Psalamii.PN007_contig2:1356000-2414000	1058000	255800	0.241777
DUF3435	IPR021842	PN007:HTR52	261390	Psalamii.PN007_contig2:2455000-2983000	528000	261390	0.495057
DUF3723	IPR022198	PN007:HTR52	413490	Psalamii.PN007_contig2:2455000-2983000	528000	114510	0.216875
DUF3723	IPR022198	PN007:HTR56	12232	Psalamii.PN007_contig20:0-502012	502012	12232	0.024366
DUF3435	IPR013087,IPR021842	PN007:HTR56	41582.5	Psalamii.PN007_contig20:0-502012	502012	41582.5	0.0828317
DUF3435	IPR013087,IPR021842	PN007:HTR56	277636	Psalamii.PN007_contig20:0-502012	502012	224376	0.446953
DUF3435	IPR013087,IPR021842	PN007:HTR59	443710	Psalamii.PN007_contig22:0-491889	491889	48179	0.0979469
DUF3435	IPR013087,IPR021842	PN007:HTR59	450884	Psalamii.PN007_contig22:0-491889	491889	41005	0.0833623
DUF3723	IPR022198	PN007:HTR60	26928.5	Psalamii.PN007_contig23:0-491752	491752	26928.5	0.0547603
DUF3723	IPR022198	PN007:HTR60	93228	Psalamii.PN007_contig23:0-491752	491752	93228	0.189583
DUF3723	IPR022198	PN007:HTR60	299006	Psalamii.PN007_contig23:0-491752	491752	192746	0.391958
DUF3723	IPR022198	PN007:HTR60	352549	Psalamii.PN007_contig23:0-491752	491752	139203	0.283076
DUF3723	IPR022198	PN007:HTR60	420465	Psalamii.PN007_contig23:0-491752	491752	71287	0.144965
MYB/SANT	IPR001005,IPR009057	PN007:HTR60	485461	Psalamii.PN007_contig23:0-491752	491752	6291	0.012793
DUF3435	IPR021842	PN007:HTR72	139804	Psalamii.PN007_contig29:0-229416	229416	89612	0.390609
DUF3723	IPR022198	PN007:HTR72	150658	Psalamii.PN007_contig29:0-229416	229416	78758	0.343298
DUF3723	IPR022198	PN007:HTR94	39340	Psalamii.PN007_contig30:0-205187	205187	39340	0.191728
MYB/SANT	IPR001005,IPR009057	PN007:HTR94	112828	Psalamii.PN007_contig30:0-205187	205187	92359	0.450121
PLP	ENOG503NY7U	IBT35665:HTR42	143590	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	143590	0.171964
CRG	ENOG503P5Q6	IBT35665:HTR42	267654	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	267654	0.320544
PLP	ENOG503NY7U	IBT35665:HTR42	352086	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	352086	0.42166
CRG	ENOG503P5Q6	IBT35665:HTR42	541391	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	293609	0.351628
CRG	ENOG503P5Q6	IBT35665:HTR42	545216	Pbrevicompactum.IBT35665_JAPZBP010000003:996000-1831000	835000	289784	0.347047
PLP	ENOG503NY7U	IBT35673:HTR117	342890	Pbrevicompactum.IBT35673_JAPZBQ010000005:2475000-3020000	545000	202110	0.370844
PLP	ENOG503NY7U	IBT35675:HTR117	88951	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	88951	0.0506843
PLP	ENOG503NY7U	PN007:HTR94	13097.5	Psalamii.PN007_contig30:0-205187	205187	13097.5	0.063832
CRG	ENOG503P5Q6	IBT35675:HTR117	194561	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	194561	0.110861
PLP	ENOG503NY7U	PN007:HTR94	14656.5	Psalamii.PN007_contig30:0-205187	205187	14656.5	0.07143
CRG	ENOG503P5Q6	IBT35675:HTR117	418538	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	418538	0.238483
CRG	ENOG503P5Q6	IBT35675:HTR117	508215	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	508215	0.289581
PLP	ENOG503NY7U	IBT35675:HTR117	573144	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	573144	0.326578
PLP	ENOG503NY7U	PN007:HTR94	52181.5	Psalamii.PN007_contig30:0-205187	205187	52181.5	0.254312
PLP	ENOG503NY7U	IBT35675:HTR117	1086161	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	668839	0.381105
CRG	ENOG503P5Q6	IBT35675:HTR117	1159531	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	595469	0.339299
CRG	ENOG503P5Q6	IBT35675:HTR117	1404952	Pbrevicompactum.IBT35675_JAPZBR010000008:0-1755000	1755000	350048	0.199458
CRG	ENOG503P5Q6	A30:HTR13	496002	Pbialowiezense.A30_JAKZFB010000001:3271000-3830000	559000	62998	0.112698
CRG	ENOG503P5Q6	PN007:HTR36	120522	Psalamii.PN007_contig15:0-782603	782603	120522	0.154001
PLP	ENOG503NY7U	PN007:HTR36	323595	Psalamii.PN007_contig15:0-782603	782603	323595	0.413486
CRG	ENOG503P5Q6	PN007:HTR36	374691	Psalamii.PN007_contig15:0-782603	782603	374691	0.478775
PLP	ENOG503NY7U	PN007:HTR36	551132	Psalamii.PN007_contig15:0-782603	782603	231471	0.295771
PLP	ENOG503NY7U	PN007:HTR36	665645	Psalamii.PN007_contig15:0-782603	782603	116958	0.149447
CRG	ENOG503P5Q6	IBT35665:HTR75	170431	Pbrevicompactum.IBT35665_JAPZBP010000006:1787000-1965000	178000	7569	0.0425225
CRG	ENOG503P5Q6	PN007:HTR105	85660.5	Psalamii.PN007_contig4:0-914000	914000	85660.5	0.0937205
PLP	ENOG503NY7U	PN007:HTR105	161046	Psalamii.PN007_contig4:0-914000	914000	161046	0.176199
CRG	ENOG503P5Q6	PN007:HTR105	230970	Psalamii.PN007_contig4:0-914000	914000	230970	0.252702
PLP	ENOG503NY7U	PN007:HTR105	399725	Psalamii.PN007_contig4:0-914000	914000	399725	0.437336
DUF6066	PF20255	PN007:HTR105	481651	Psalamii.PN007_contig4:0-914000	914000	432349	0.47303
PLP	ENOG503NY7U	PN007:HTR105	606885	Psalamii.PN007_contig4:0-914000	914000	307115	0.336012
PLP	ENOG503NY7U	PN007:HTR46	9632	Psalamii.PN007_contig19:0-463000	463000	9632	0.0208035
DUF6066	PF20255	PN007:HTR46	98098.5	Psalamii.PN007_contig19:0-463000	463000	98098.5	0.211876
CRG	ENOG503P5Q6	PN007:HTR46	106862	Psalamii.PN007_contig19:0-463000	463000	106862	0.230803
DUF6066	PF20255	PN007:HTR52	322418	Psalamii.PN007_contig2:2455000-2983000	528000	205582	0.38936
PLP	ENOG503NY7U	PN007:HTR52	383462	Psalamii.PN007_contig2:2455000-2983000	528000	144538	0.273746
PLP	ENOG503NY7U	PN007:HTR52	385066	Psalamii.PN007_contig2:2455000-2983000	528000	142934	0.270708
PLP	ENOG503NY7U	IBT35675:HTR6	99330	Pbrevicompactum.IBT35675_JAPZBR010000001:1605000-1845000	240000	99330	0.413875
DUF6066	PF20255	PN007:HTR1	244244	Psalamii.PN007_contig1:0-1040000	1040000	244244	0.23485
PLP	ENOG503NY7U	PN007:HTR72	165417	Psalamii.PN007_contig29:0-229416	229416	63999	0.278965
PLP	ENOG503NY7U	IBT35675:HTR1	107226	Pbrevicompactum.IBT35675_JAPZBR010000001:0-714000	714000	107226	0.150176
PLP	ENOG503NY7U	IBT35675:HTR1	343286	Pbrevicompactum.IBT35675_JAPZBR010000001:0-714000	714000	343286	0.480793
PLP	ENOG503NY7U	IBT35675:HTR1	345030	Pbrevicompactum.IBT35675_JAPZBR010000001:0-714000	714000	345030	0.483235
CRG	ENOG503P5Q6	PN007:HTR51	314652	Psalamii.PN007_contig2:1356000-2414000	1058000	314652	0.297403
CRG	ENOG503P5Q6	PN007:HTR51	315182	Psalamii.PN007_contig2:1356000-2414000	1058000	315182	0.297904
DUF6066	PF20255	PN007:HTR51	371668	Psalamii.PN007_contig2:1356000-2414000	1058000	371668	0.351293
CRG	ENOG503P5Q6	PN007:HTR51	396877	Psalamii.PN007_contig2:1356000-2414000	1058000	396877	0.37512
PLP	ENOG503NY7U	PN007:HTR51	450690	Psalamii.PN007_contig2:1356000-2414000	1058000	450690	0.425983
CRG	ENOG503P5Q6	PN007:HTR51	737341	Psalamii.PN007_contig2:1356000-2414000	1058000	320659	0.30308
CRG	ENOG503P5Q6	IBT35673:HTR9	171568	Pbrevicompactum.IBT35673_JAPZBQ010000001:1820000-2000000	180000	8432	0.0468444
PLP	ENOG503NY7U	IBT35675:HTR101	83931	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	83931	0.087978
CRG	ENOG503P5Q6	IBT35675:HTR101	255341	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	255341	0.267653
CRG	ENOG503P5Q6	IBT35675:HTR101	329489	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	329489	0.345376
DUF6066	PF20255	IBT35675:HTR101	755496	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	198504	0.208075
PLP	ENOG503NY7U	IBT35675:HTR101	843952	Pbrevicompactum.IBT35675_JAPZBR010000006:2517000-3471000	954000	110048	0.115354
PLP	ENOG503NY7U	IBT35665:HTR1	232316	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	232316	0.160108
PLP	ENOG503NY7U	IBT35665:HTR1	338596	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	338596	0.233354
CRG	ENOG503P5Q6	IBT35665:HTR1	460236	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	460236	0.317185
PLP	ENOG503NY7U	IBT35665:HTR1	576680	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	576680	0.397436
CRG	ENOG503P5Q6	IBT35665:HTR1	814300	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	636700	0.438801
PLP	ENOG503NY7U	IBT35665:HTR1	988427	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	462573	0.318796
PLP	ENOG503NY7U	IBT35665:HTR1	990366	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	460634	0.31746
PLP	ENOG503NY7U	IBT35665:HTR1	1.19934e+06	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	251660	0.173439
PLP	ENOG503NY7U	IBT35665:HTR1	1200978	Pbrevicompactum.IBT35665_JAPZBP010000001:0-1451000	1451000	250022	0.17231
PLP	ENOG503NY7U	IBT35675:HTR11	112764	Pbrevicompactum.IBT35675_JAPZBR010000001:2954000-3398000	444000	112764	0.253973
DUF6066	PF20255	IBT35675:HTR62	152408	Pbrevicompactum.IBT35675_JAPZBR010000003:2969000-3142977	173977	21569	0.123976
DUF6066	PF20255	IBT35665:HTR65	439782	Pbrevicompactum.IBT35665_JAPZBP010000005:0-892465	892465	439782	0.492772
DUF6066	PF20255	IBT35665:HTR65	655408	Pbrevicompactum.IBT35665_JAPZBP010000005:0-892465	892465	237057	0.265621
PLP	ENOG503NY7U	IBT35665:HTR22	205380	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	205380	0.201156
PLP	ENOG503NY7U	IBT35665:HTR22	353604	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	353604	0.346331
CRG	ENOG503P5Q6	IBT35665:HTR22	500769	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	500769	0.490469
CRG	ENOG503P5Q6	IBT35665:HTR22	653310	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	367690	0.360127
CRG	ENOG503P5Q6	IBT35665:HTR22	730833	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	290167	0.284199
PLP	ENOG503NY7U	IBT35665:HTR22	921460	Pbrevicompactum.IBT35665_JAPZBP010000001:5132000-6153000	1021000	99540	0.0974927
PLP	ENOG503NY7U	IBT35665:HTR64	514904	Pbrevicompactum.IBT35665_JAPZBP010000004:3340000-5084571	1744571	514904	0.295146
CRG	ENOG503P5Q6	IBT35665:HTR64	539921	Pbrevicompactum.IBT35665_JAPZBP010000004:3340000-5084571	1744571	539921	0.309486
CRG	ENOG503P5Q6	IBT35665:HTR64	851346	Pbrevicompactum.IBT35665_JAPZBP010000004:3340000-5084571	1744571	851346	0.487997
